category,severity,key,detail
wallet,medium,balance_continuity_row,"{""date"":""2018-04-01"",""type"":""RealisedPNL"",""amount"":-24319569,""running"":211897708,""balance"":172513107,""diffSatoshi"":39384601,""diffXbt"":0.39384601}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-02"",""type"":""RealisedPNL"",""amount"":6009606,""running"":178522713,""balance"":121184156,""diffSatoshi"":57338557,""diffXbt"":0.57338557}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-03"",""type"":""RealisedPNL"",""amount"":-27395505,""running"":93788651,""balance"":54963422,""diffSatoshi"":38825229,""diffXbt"":0.38825229}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-05"",""type"":""RealisedPNL"",""amount"":2178189,""running"":90790355,""balance"":101019290,""diffSatoshi"":-10228935,""diffXbt"":-0.10228935}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-06"",""type"":""RealisedPNL"",""amount"":3583007,""running"":104602297,""balance"":129393303,""diffSatoshi"":-24791006,""diffXbt"":-0.24791006}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-10"",""type"":""RealisedPNL"",""amount"":1418755,""running"":154846440,""balance"":168324675,""diffSatoshi"":-13478235,""diffXbt"":-0.13478235}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-13"",""type"":""RealisedPNL"",""amount"":196440,""running"":169153868,""balance"":173787525,""diffSatoshi"":-4633657,""diffXbt"":-0.04633657}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-17"",""type"":""RealisedPNL"",""amount"":3007088,""running"":247640318,""balance"":347227419,""diffSatoshi"":-99587101,""diffXbt"":-0.99587101}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-23"",""type"":""RealisedPNL"",""amount"":7422086,""running"":303141985,""balance"":312122655,""diffSatoshi"":-8980670,""diffXbt"":-0.0898067}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-24"",""type"":""RealisedPNL"",""amount"":6244076,""running"":318366731,""balance"":402728379,""diffSatoshi"":-84361648,""diffXbt"":-0.84361648}"
wallet,medium,balance_continuity_row,"{""date"":""2018-04-25"",""type"":""RealisedPNL"",""amount"":8966767,""running"":311575146,""balance"":304698234,""diffSatoshi"":6876912,""diffXbt"":0.06876912}"
